整理番号,調達機関名,調達機関所在地,調達件名,契約年月日,契約相手方名称,契約相手方所在地,法人番号,落札金額
BOJ-ALLOC-1-経済産業省,日本銀行,東京都中央区日本橋本石町,令和3年度 経済産業省 予算配分,2021-04-01,経済産業省,東京都千代田区霞が関,1000000000000,1443000000000
BOJ-ALLOC-2-経済産業省,日本銀行,東京都中央区日本橋本石町,令和4年度 経済産業省 予算配分,2022-04-01,経済産業省,東京都千代田区霞が関,1000000000000,2473000000000
BOJ-ALLOC-3-経済産業省,日本銀行,東京都中央区日本橋本石町,令和5年度 経済産業省 予算配分,2023-04-01,経済産業省,東京都千代田区霞が関,1000000000000,1894000000000
BOJ-ALLOC-4-経済産業省,日本銀行,東京都中央区日本橋本石町,令和6年度 経済産業省 予算配分,2024-04-01,経済産業省,東京都千代田区霞が関,1000000000000,1586000000000
BOJ-ALLOC-0-外務省,日本銀行,東京都中央区日本橋本石町,令和2年度 外務省 予算配分,2020-04-01,外務省,東京都千代田区霞が関,1000000000000,721000000000
BOJ-ALLOC-1-外務省,日本銀行,東京都中央区日本橋本石町,令和3年度 外務省 予算配分,2021-04-01,外務省,東京都千代田区霞が関,1000000000000,2596000000000
BOJ-ALLOC-2-外務省,日本銀行,東京都中央区日本橋本石町,令和4年度 外務省 予算配分,2022-04-01,外務省,東京都千代田区霞が関,1000000000000,2545000000000
BOJ-ALLOC-3-外務省,日本銀行,東京都中央区日本橋本石町,令和5年度 外務省 予算配分,2023-04-01,外務省,東京都千代田区霞が関,1000000000000,868000000000
BOJ-ALLOC-4-外務省,日本銀行,東京都中央区日本橋本石町,令和6年度 外務省 予算配分,2024-04-01,外務省,東京都千代田区霞が関,1000000000000,1535000000000
BOJ-ALLOC-0-総務省,日本銀行,東京都中央区日本橋本石町,令和2年度 総務省 予算配分,2020-04-01,総務省,東京都千代田区霞が関,1000000000000,2289000000000
BOJ-ALLOC-1-総務省,日本銀行,東京都中央区日本橋本石町,令和3年度 総務省 予算配分,2021-04-01,総務省,東京都千代田区霞が関,1000000000000,2982000000000
BOJ-ALLOC-2-総務省,日本銀行,東京都中央区日本橋本石町,令和4年度 総務省 予算配分,2022-04-01,総務省,東京都千代田区霞が関,1000000000000,1505000000000
BOJ-ALLOC-3-総務省,日本銀行,東京都中央区日本橋本石町,令和5年度 総務省 予算配分,2023-04-01,総務省,東京都千代田区霞が関,1000000000000,1336000000000
BOJ-ALLOC-4-総務省,日本銀行,東京都中央区日本橋本石町,令和6年度 総務省 予算配分,2024-04-01,総務省,東京都千代田区霞が関,1000000000000,1787000000000
BOJ-ALLOC-0-内閣府,日本銀行,東京都中央区日本橋本石町,令和2年度 内閣府 予算配分,2020-04-01,内閣府,東京都千代田区霞が関,1000000000000,1141000000000
BOJ-ALLOC-1-内閣府,日本銀行,東京都中央区日本橋本石町,令和3年度 内閣府 予算配分,2021-04-01,内閣府,東京都千代田区霞が関,1000000000000,1900000000000
BOJ-ALLOC-2-内閣府,日本銀行,東京都中央区日本橋本石町,令和4年度 内閣府 予算配分,2022-04-01,内閣府,東京都千代田区霞が関,1000000000000,2011000000000
BOJ-ALLOC-3-内閣府,日本銀行,東京都中央区日本橋本石町,令和5年度 内閣府 予算配分,2023-04-01,内閣府,東京都千代田区霞が関,1000000000000,1048000000000
BOJ-ALLOC-4-内閣府,日本銀行,東京都中央区日本橋本石町,令和6年度 内閣府 予算配分,2024-04-01,内閣府,東京都千代田区霞が関,1000000000000,1413000000000
GOV-TX-000001,外務省,東京都,クラウド基盤提供サービス,2022-04-11,株式会社大和開発,東京都,1234567890123,1360000
GOV-TX-000002,国土交通省,東京都,PC端末等の調達,2020-11-28,（株）シグマ開発,東京都,1234567890123,1540000
GOV-TX-000003,財務省,東京都,PC端末等の調達,2020-09-27,株式会社サイバー研究所,東京都,1234567890123,1920000
GOV-TX-000004,経済産業省,東京都,PC端末等の調達,2023-04-25,株式会社グローバル建設,東京都,1234567890123,3900000
GOV-TX-000005,文部科学省,東京都,調査研究委託費,2024-06-20,株式会社グローバル研究所,東京都,1234567890123,3100000
GOV-TX-000006,文部科学省,東京都,ヘルプデスク運営業務,2022-01-04,（株）日本通信,東京都,1234567890123,4320000
GOV-TX-000007,内閣府,東京都,セキュリティ監査業務,2022-05-30,（株）テクノソリューションズ,東京都,1234567890123,1070000
GOV-TX-000008,株式会社IT商事,東京都,AI実証実験システム構築,2021-05-09,株式会社ベータ研究所,東京都,1234567890123,1960000
GOV-TX-000009,外務省,東京都,データ分析支援業務,2022-05-27,株式会社IT商事,東京都,1234567890123,1220000
GOV-TX-000010,文部科学省,東京都,ソフトウェアライセンス更新,2021-05-12,株式会社アルファソリューションズ,東京都,1234567890123,2550000
GOV-TX-000011,総務省,東京都,基幹システム保守運用業務,2021-07-07,株式会社シグマ通信,東京都,1234567890123,1140000
GOV-TX-000012,株式会社システム研究所,東京都,調査研究委託費,2021-11-26,株式会社アルファ通信,東京都,1234567890123,1200000
GOV-TX-000013,厚生労働省,東京都,広報Webサイト制作,2022-03-26,株式会社AIソリューションズ,東京都,1234567890123,1210000
GOV-TX-000014,国土交通省,東京都,広報Webサイト制作,2023-11-29,株式会社日本商事,東京都,1234567890123,2120000
GOV-TX-000015,株式会社日本通信,東京都,ソフトウェアライセンス更新,2023-09-29,株式会社第一ソリューションズ,東京都,1234567890123,1540000
GOV-TX-000016,株式会社データシステムズ,東京都,AI実証実験システム構築,2024-08-06,（株）ネットワークソリューションズ,東京都,1234567890123,1500000
GOV-TX-000017,経済産業省,東京都,データ分析支援業務,2021-09-21,株式会社ネットワークコンサルティング,東京都,1234567890123,1260000
GOV-TX-000018,外務省,東京都,システム更改に伴う開発業務,2021-04-21,株式会社アルファ建設,東京都,1234567890123,1370000
GOV-TX-000019,厚生労働省,東京都,データ分析支援業務,2022-01-22,株式会社クラウド建設,東京都,1234567890123,1640000
GOV-TX-000020,厚生労働省,東京都,データ分析支援業務,2024-03-16,株式会社クラウドコンサルティング,東京都,1234567890123,1690000
GOV-TX-000021,国土交通省,東京都,PC端末等の調達,2023-06-12,（株）第一開発,東京都,1234567890123,1320000
GOV-TX-000022,株式会社第一商事,東京都,AI実証実験システム構築,2021-01-15,株式会社クラウド商事,東京都,1234567890123,2700000
GOV-TX-000023,株式会社ITソリューションズ,東京都,システム更改に伴う開発業務,2023-09-05,株式会社ベータ開発,東京都,1234567890123,1360000
GOV-TX-000024,外務省,東京都,ソフトウェアライセンス更新,2020-07-23,株式会社クラウドソリューションズ,東京都,1234567890123,1210000
GOV-TX-000025,財務省,東京都,AI実証実験システム構築,2022-11-27,株式会社大和建設,東京都,1234567890123,2860000
GOV-TX-000026,国土交通省,東京都,システム更改に伴う開発業務,2022-10-30,株式会社テクノ商事,東京都,1234567890123,1710000
GOV-TX-000027,財務省,東京都,調査研究委託費,2023-05-27,株式会社テクノ開発,東京都,1234567890123,1070000
GOV-TX-000028,経済産業省,東京都,クラウド基盤提供サービス,2023-05-28,株式会社オメガコンサルティング,東京都,1234567890123,1340000
GOV-TX-000029,デジタル庁,東京都,データ分析支援業務,2021-04-15,株式会社ITシステムズ,東京都,1234567890123,2430000
GOV-TX-000030,防衛省,東京都,システム更改に伴う開発業務,2025-02-08,（株）アルファコンサルティング,東京都,1234567890123,1080000
GOV-TX-000031,厚生労働省,東京都,システム更改に伴う開発業務,2020-06-13,（株）日本商事,東京都,1234567890123,1900000
GOV-TX-000032,防衛省,東京都,基幹システム保守運用業務,2021-09-04,株式会社グローバルシステムズ,東京都,1234567890123,1020000
GOV-TX-000033,財務省,東京都,AI実証実験システム構築,2021-05-19,株式会社データソリューションズ,東京都,1234567890123,1830000
GOV-TX-000034,外務省,東京都,広報Webサイト制作,2024-03-30,株式会社ベータ開発,東京都,1234567890123,13710000
GOV-TX-000035,内閣府,東京都,AI実証実験システム構築,2020-07-13,株式会社シグマコンサルティング,東京都,1234567890123,1150000
GOV-TX-000036,国土交通省,東京都,クラウド基盤提供サービス,2022-03-11,株式会社大和ソリューションズ,東京都,1234567890123,1890000
GOV-TX-000037,財務省,東京都,ネットワーク機器調達,2021-10-06,株式会社アルファコンサルティング,東京都,1234567890123,3220000
GOV-TX-000038,厚生労働省,東京都,広報Webサイト制作,2023-10-18,株式会社クラウド開発,東京都,1234567890123,1750000
GOV-TX-000039,内閣府,東京都,データ分析支援業務,2022-10-28,株式会社アルファ商事,東京都,1234567890123,3200000
GOV-TX-000040,総務省,東京都,調査研究委託費,2021-01-12,株式会社シグマソリューションズ,東京都,1234567890123,1060000
GOV-TX-000041,総務省,東京都,データ分析支援業務,2023-05-04,株式会社クラウドシステムズ,東京都,1234567890123,2780000
GOV-TX-000042,厚生労働省,東京都,基幹システム保守運用業務,2022-09-05,株式会社グローバルサービス,東京都,1234567890123,3110000
GOV-TX-000043,経済産業省,東京都,クラウド基盤提供サービス,2024-12-16,株式会社フロンティアソリューションズ,東京都,1234567890123,3380000
GOV-TX-000044,外務省,東京都,広報Webサイト制作,2022-10-06,株式会社大和通信,東京都,1234567890123,1050000
GOV-TX-000045,株式会社グローバルサービス,東京都,システム更改に伴う開発業務,2022-02-07,株式会社データ建設,東京都,1234567890123,3500000
GOV-TX-000046,株式会社ベータ通信,東京都,クラウド基盤提供サービス,2023-10-31,株式会社システム建設,東京都,1234567890123,1300000
GOV-TX-000047,株式会社フロンティアサービス,東京都,クラウド基盤提供サービス,2021-05-26,株式会社シグマサービス,東京都,1234567890123,1950000
GOV-TX-000048,総務省,東京都,基幹システム保守運用業務,2021-11-23,株式会社AI開発,東京都,1234567890123,3360000
GOV-TX-000049,総務省,東京都,AI実証実験システム構築,2021-03-01,株式会社サイバーサービス,東京都,1234567890123,1420000
GOV-TX-000050,経済産業省,東京都,システム更改に伴う開発業務,2024-01-06,（株）クラウド研究所,東京都,1234567890123,2490000
GOV-TX-000051,株式会社ソリューション開発,東京都,基幹システム保守運用業務,2022-08-06,株式会社ベータソリューションズ,東京都,1234567890123,1030000
GOV-TX-000052,文部科学省,東京都,ヘルプデスク運営業務,2021-04-26,日立製作所,東京都,1234567890123,1960000
GOV-TX-000053,防衛省,東京都,ソフトウェアライセンス更新,2021-12-24,株式会社グローバル研究所,東京都,1234567890123,3110000
GOV-TX-000054,株式会社グローバル商事,東京都,データ分析支援業務,2022-02-07,株式会社オメガ商事,東京都,1234567890123,1210000
GOV-TX-000055,株式会社クラウド研究所,東京都,データ分析支援業務,2020-09-19,株式会社ベータ研究所,東京都,1234567890123,1180000
GOV-TX-000056,経済産業省,東京都,ヘルプデスク運営業務,2024-01-07,株式会社クラウド商事,東京都,1234567890123,1480000
GOV-TX-000057,総務省,東京都,システム更改に伴う開発業務,2021-08-29,株式会社アルファ建設,東京都,1234567890123,4050000
GOV-TX-000058,文部科学省,東京都,システム更改に伴う開発業務,2021-09-28,株式会社日本コンサルティング,東京都,1234567890123,1030000
GOV-TX-000059,株式会社ベータ商事,東京都,PC端末等の調達,2024-03-26,株式会社ネットワークサービス,東京都,1234567890123,5040000
GOV-TX-000060,デジタル庁,東京都,データ分析支援業務,2024-07-08,株式会社総合商事,東京都,1234567890123,1690000
GOV-TX-000061,株式会社フロンティア研究所,東京都,セキュリティ監査業務,2021-08-05,株式会社ITコンサルティング,東京都,1234567890123,1720000
GOV-TX-000062,株式会社オメガ通信,東京都,ソフトウェアライセンス更新,2023-08-14,株式会社ITソリューションズ,東京都,1234567890123,2290000
GOV-TX-000063,株式会社データコンサルティング,東京都,PC端末等の調達,2023-12-26,株式会社大和建設,東京都,1234567890123,1590000
GOV-TX-000064,株式会社大和コンサルティング,東京都,基幹システム保守運用業務,2023-05-01,株式会社日本システムズ,東京都,1234567890123,1010000
GOV-TX-000065,厚生労働省,東京都,基幹システム保守運用業務,2022-04-02,株式会社ITソリューションズ,東京都,1234567890123,35210000
GOV-TX-000066,株式会社第一建設,東京都,PC端末等の調達,2023-05-04,株式会社クリエイティブ開発,東京都,1234567890123,1010000
GOV-TX-000067,総務省,東京都,広報Webサイト制作,2024-05-03,株式会社フロンティア研究所,東京都,1234567890123,3110000
GOV-TX-000068,デジタル庁,東京都,システム更改に伴う開発業務,2020-06-22,株式会社テクノ商事,東京都,1234567890123,2140000
GOV-TX-000069,総務省,東京都,ヘルプデスク運営業務,2020-06-17,株式会社システム通信,東京都,1234567890123,1180000
GOV-TX-000070,内閣府,東京都,広報Webサイト制作,2021-11-12,株式会社オメガ通信,東京都,1234567890123,1290000
GOV-TX-000071,国土交通省,東京都,PC端末等の調達,2022-01-16,株式会社テクノ開発,東京都,1234567890123,1510000
GOV-TX-000072,内閣府,東京都,PC端末等の調達,2022-01-12,（株）ネットワーク開発,東京都,1234567890123,1450000
GOV-TX-000073,内閣府,東京都,ネットワーク機器調達,2022-07-02,株式会社大和開発,東京都,1234567890123,1600000
GOV-TX-000074,外務省,東京都,基幹システム保守運用業務,2021-03-01,株式会社総合コンサルティング,東京都,1234567890123,1900000
GOV-TX-000075,株式会社データ研究所,東京都,広報Webサイト制作,2024-06-08,株式会社データ建設,東京都,1234567890123,2420000
GOV-TX-000076,財務省,東京都,ネットワーク機器調達,2024-04-15,株式会社ソリューション通信,東京都,1234567890123,1020000
GOV-TX-000077,厚生労働省,東京都,システム更改に伴う開発業務,2022-05-05,株式会社AIソリューションズ,東京都,1234567890123,1240000
GOV-TX-000078,株式会社シグマシステムズ,東京都,ソフトウェアライセンス更新,2024-10-18,株式会社アルファ建設,東京都,1234567890123,1050000
GOV-TX-000079,株式会社グローバルサービス,東京都,基幹システム保守運用業務,2024-12-16,（株）サイバーシステムズ,東京都,1234567890123,1260000
GOV-TX-000080,内閣府,東京都,クラウド基盤提供サービス,2022-07-03,株式会社グローバル商事,東京都,1234567890123,2140000
GOV-TX-000081,総務省,東京都,調査研究委託費,2021-04-30,富士通株式会社,東京都,1234567890123,1300000
GOV-TX-000082,総務省,東京都,基幹システム保守運用業務,2024-04-22,株式会社第一ソリューションズ,東京都,1234567890123,1090000
GOV-TX-000083,厚生労働省,東京都,基幹システム保守運用業務,2022-11-18,株式会社アルファシステムズ,東京都,1234567890123,1100000
GOV-TX-000084,総務省,東京都,広報Webサイト制作,2024-12-25,株式会社大和通信,東京都,1234567890123,1570000
GOV-TX-000085,防衛省,東京都,システム更改に伴う開発業務,2024-12-24,富士通株式会社,東京都,1234567890123,1650000
GOV-TX-000086,株式会社シグマ通信,東京都,データ分析支援業務,2020-04-17,株式会社オメガ研究所,東京都,1234567890123,1480000
GOV-TX-000087,株式会社第一通信,東京都,セキュリティ監査業務,2022-09-13,（株）テクノコンサルティング,東京都,1234567890123,1940000
GOV-TX-000088,防衛省,東京都,データ分析支援業務,2023-01-13,株式会社クリエイティブサービス,東京都,1234567890123,4950000
GOV-TX-000089,株式会社グローバル開発,東京都,基幹システム保守運用業務,2022-01-15,株式会社ネットワークシステムズ,東京都,1234567890123,2380000
GOV-TX-000090,防衛省,東京都,AI実証実験システム構築,2023-10-07,株式会社アルファ建設,東京都,1234567890123,1200000
GOV-TX-000091,文部科学省,東京都,セキュリティ監査業務,2023-08-11,株式会社ネットワーク商事,東京都,1234567890123,1240000
GOV-TX-000092,デジタル庁,東京都,基幹システム保守運用業務,2024-10-08,株式会社第一通信,東京都,1234567890123,1190000
GOV-TX-000093,文部科学省,東京都,基幹システム保守運用業務,2024-01-10,株式会社データシステムズ,東京都,1234567890123,1780000
GOV-TX-000094,財務省,東京都,広報Webサイト制作,2022-01-16,株式会社ベータ建設,東京都,1234567890123,4350000
GOV-TX-000095,財務省,東京都,セキュリティ監査業務,2023-06-25,株式会社シグマ建設,東京都,1234567890123,1080000
GOV-TX-000096,厚生労働省,東京都,AI実証実験システム構築,2020-10-19,株式会社総合システムズ,東京都,1234567890123,1070000
GOV-TX-000097,株式会社システム商事,東京都,PC端末等の調達,2024-04-07,株式会社オメガ研究所,東京都,1234567890123,2060000
GOV-TX-000098,国土交通省,東京都,セキュリティ監査業務,2021-01-07,株式会社ネットワークコンサルティング,東京都,1234567890123,1010000
GOV-TX-000099,文部科学省,東京都,ネットワーク機器調達,2024-09-24,株式会社日本ソリューションズ,東京都,1234567890123,1190000
GOV-TX-000100,厚生労働省,東京都,データ分析支援業務,2024-01-31,株式会社第一ソリューションズ,東京都,1234567890123,3040000
GOV-TX-000101,文部科学省,東京都,データ分析支援業務,2021-02-19,（株）オメガ商事,東京都,1234567890123,1350000
GOV-TX-000102,財務省,東京都,PC端末等の調達,2021-02-09,（株）アルファシステムズ,東京都,1234567890123,1160000
GOV-TX-000103,内閣府,東京都,データ分析支援業務,2021-05-10,株式会社フロンティア研究所,東京都,1234567890123,1360000
GOV-TX-000104,外務省,東京都,システム更改に伴う開発業務,2024-08-19,株式会社アルファ開発,東京都,1234567890123,1180000
GOV-TX-000105,文部科学省,東京都,セキュリティ監査業務,2024-09-05,株式会社日本通信,東京都,1234567890123,3770000
GOV-TX-000106,デジタル庁,東京都,基幹システム保守運用業務,2024-12-23,株式会社システム建設,東京都,1234567890123,7010000
GOV-TX-000107,厚生労働省,東京都,AI実証実験システム構築,2022-11-26,株式会社シグマ開発,東京都,1234567890123,1710000
GOV-TX-000108,経済産業省,東京都,ネットワーク機器調達,2023-12-16,株式会社アルファ通信,東京都,1234567890123,2730000
GOV-TX-000109,防衛省,東京都,システム更改に伴う開発業務,2023-09-05,株式会社大和建設,東京都,1234567890123,1670000
GOV-TX-000110,国土交通省,東京都,セキュリティ監査業務,2022-05-20,株式会社シグマ通信,東京都,1234567890123,1640000
GOV-TX-000111,経済産業省,東京都,PC端末等の調達,2022-03-07,株式会社システムコンサルティング,東京都,1234567890123,4590000
GOV-TX-000112,文部科学省,東京都,クラウド基盤提供サービス,2022-10-24,（株）データコンサルティング,東京都,1234567890123,2690000
GOV-TX-000113,株式会社フロンティア建設,東京都,クラウド基盤提供サービス,2021-04-01,株式会社日本商事,東京都,1234567890123,2240000
GOV-TX-000114,株式会社グローバル商事,東京都,ネットワーク機器調達,2020-12-06,株式会社オメガコンサルティング,東京都,1234567890123,1200000
GOV-TX-000115,デジタル庁,東京都,広報Webサイト制作,2020-07-29,株式会社ネットワーク開発,東京都,1234567890123,3890000
GOV-TX-000116,デジタル庁,東京都,調査研究委託費,2021-03-14,株式会社ITシステムズ,東京都,1234567890123,1170000
GOV-TX-000117,株式会社ベータ開発,東京都,基幹システム保守運用業務,2022-07-28,株式会社フロンティアサービス,東京都,1234567890123,1080000
GOV-TX-000118,株式会社野村総合研究所(NRI),東京都,データ分析支援業務,2024-08-17,日本電気株式会社(NEC),東京都,1234567890123,4000000
GOV-TX-000119,株式会社ベータ通信,東京都,基幹システム保守運用業務,2025-01-25,株式会社テクノ研究所,東京都,1234567890123,4450000
GOV-TX-000120,デジタル庁,東京都,PC端末等の調達,2023-03-11,株式会社グローバル商事,東京都,1234567890123,6970000
GOV-TX-000121,厚生労働省,東京都,クラウド基盤提供サービス,2023-06-16,（株）クラウド商事,東京都,1234567890123,1070000
GOV-TX-000122,厚生労働省,東京都,システム更改に伴う開発業務,2022-08-13,株式会社シグマソリューションズ,東京都,1234567890123,1210000
GOV-TX-000123,経済産業省,東京都,データ分析支援業務,2022-09-18,（株）データシステムズ,東京都,1234567890123,2830000
GOV-TX-000124,総務省,東京都,PC端末等の調達,2024-04-20,株式会社サイバーソリューションズ,東京都,1234567890123,3270000
GOV-TX-000125,株式会社グローバルソリューションズ,東京都,セキュリティ監査業務,2023-12-07,株式会社総合研究所,東京都,1234567890123,2270000
GOV-TX-000126,厚生労働省,東京都,データ分析支援業務,2022-10-08,株式会社テクノ研究所,東京都,1234567890123,1060000
GOV-TX-000127,外務省,東京都,AI実証実験システム構築,2020-06-26,株式会社第一開発,東京都,1234567890123,6520000
GOV-TX-000128,株式会社シグマ研究所,東京都,ネットワーク機器調達,2022-10-19,（株）シグマシステムズ,東京都,1234567890123,1020000
GOV-TX-000129,経済産業省,東京都,システム更改に伴う開発業務,2024-09-05,株式会社システム研究所,東京都,1234567890123,5240000
GOV-TX-000130,株式会社総合ソリューションズ,東京都,セキュリティ監査業務,2020-08-01,株式会社アルファシステムズ,東京都,1234567890123,1840000
GOV-TX-000131,総務省,東京都,AI実証実験システム構築,2022-08-02,株式会社データサービス,東京都,1234567890123,2110000
GOV-TX-000132,デジタル庁,東京都,PC端末等の調達,2022-04-11,株式会社ネットワークシステムズ,東京都,1234567890123,1040000
GOV-TX-000133,厚生労働省,東京都,セキュリティ監査業務,2021-08-05,（株）日本開発,東京都,1234567890123,2120000
GOV-TX-000134,外務省,東京都,調査研究委託費,2022-04-06,株式会社サイバーサービス,東京都,1234567890123,1850000
GOV-TX-000135,株式会社第一ソリューションズ,東京都,広報Webサイト制作,2020-05-28,株式会社ベータ研究所,東京都,1234567890123,1330000
GOV-TX-000136,財務省,東京都,ソフトウェアライセンス更新,2021-08-07,株式会社日本サービス,東京都,1234567890123,1020000
GOV-TX-000137,外務省,東京都,セキュリティ監査業務,2021-05-25,株式会社総合建設,東京都,1234567890123,1510000
GOV-TX-000138,総務省,東京都,システム更改に伴う開発業務,2020-04-26,株式会社ソリューション建設,東京都,1234567890123,2570000
GOV-TX-000139,株式会社オメガソリューションズ,東京都,クラウド基盤提供サービス,2021-06-20,株式会社グローバル商事,東京都,1234567890123,2570000
GOV-TX-000140,株式会社グローバルソリューションズ,東京都,セキュリティ監査業務,2022-10-23,株式会社ソリューション商事,東京都,1234567890123,1020000
GOV-TX-000141,株式会社IT研究所,東京都,クラウド基盤提供サービス,2022-04-28,株式会社アルファ通信,東京都,1234567890123,1240000
GOV-TX-000142,外務省,東京都,調査研究委託費,2024-11-15,株式会社クラウドサービス,東京都,1234567890123,2140000
GOV-TX-000143,国土交通省,東京都,システム更改に伴う開発業務,2020-07-17,（株）日本システムズ,東京都,1234567890123,1840000
GOV-TX-000144,株式会社テクノ研究所,東京都,データ分析支援業務,2020-08-07,株式会社グローバル通信,東京都,1234567890123,1690000
